account_id,account_name,industry,segment,country,created_date
A0001,Summit Digital,Logistics,Mid-Market,Italy,2024-09-19
A0002,Apex Systems,Fintech,Mid-Market,Sweden,2026-03-28
A0003,Apex Analytics,Telecom,SMB,Denmark,2025-11-18
A0004,North Works,Media,Enterprise,Denmark,2025-01-29
A0005,Harbor Logistics,Fintech,Mid-Market,Netherlands,2025-01-25
A0006,Nova Holdings,Fintech,Enterprise,Sweden,2026-02-14
A0007,Lumen Analytics,Fintech,Mid-Market,Italy,2025-10-26
A0008,Ember Networks,Fintech,Enterprise,France,2025-03-11
A0009,Lumen Holdings,SaaS,SMB,Ireland,2024-07-10
A0010,Orbit Labs,Media,Enterprise,Italy,2024-10-17
A0011,Quanta Networks,Healthcare,SMB,Denmark,2026-04-07
A0012,Cobalt Industries,Media,SMB,Spain,2025-10-12
A0013,Lumen Systems,SaaS,SMB,Denmark,2025-12-24
A0014,Apex Digital,Healthcare,SMB,Italy,2025-04-04
A0015,Lumen Works,Healthcare,SMB,Germany,2025-12-06
A0016,Lumen Networks,Retail,Mid-Market,Netherlands,2026-03-06
A0017,Summit Networks,Energy,SMB,Sweden,2026-02-21
A0018,Summit Analytics,Education,SMB,United Kingdom,2024-11-11
A0019,Vertex Dynamics,Retail,Mid-Market,Belgium,2024-07-17
A0020,Quanta Holdings,SaaS,SMB,Italy,2024-05-16
A0021,Pulse Solutions,Fintech,Enterprise,Spain,2024-12-05
A0022,Pulse Labs,SaaS,Enterprise,France,2025-08-09
A0023,Cedar Works,Energy,SMB,Sweden,2025-09-11
A0024,Cobalt Industries,Manufacturing,SMB,Denmark,2025-03-18
A0025,Ember Holdings,Education,SMB,Germany,2025-10-03
A0026,Vertex Digital,Media,SMB,United Kingdom,2024-08-31
A0027,Ember Holdings,SaaS,Enterprise,Netherlands,2026-03-05
A0028,Orbit Industries,Healthcare,Mid-Market,Ireland,2024-12-31
A0029,Vertex Digital,Retail,SMB,Italy,2024-07-14
A0030,Ember Holdings,SaaS,SMB,Denmark,2025-10-01
A0031,Pulse Solutions,Education,SMB,France,2024-10-09
A0032,Orbit Logistics,Telecom,SMB,Belgium,2025-10-24
A0033,Quanta Logistics,Media,SMB,Italy,2024-09-15
A0034,Pulse Works,Fintech,SMB,United Kingdom,2024-12-02
A0035,Lumen Digital,Healthcare,Mid-Market,Spain,2024-06-22
A0036,Summit Logistics,SaaS,SMB,Ireland,2026-02-12
A0037,Vertex Networks,Energy,Enterprise,Denmark,2024-08-23
A0038,Pulse Solutions,Manufacturing,SMB,Belgium,2025-12-18
A0039,Summit Systems,Logistics,Mid-Market,Italy,2024-06-10
A0040,Lumen Dynamics,Fintech,Enterprise,Ireland,2025-06-21
A0041,Cedar Industries,Healthcare,Enterprise,Germany,2024-10-29
A0042,North Works,Logistics,Enterprise,Italy,2026-03-17
A0043,Nova Logistics,Energy,Enterprise,Germany,2024-06-09
A0044,Lumen Group,Retail,Enterprise,France,2024-12-20
A0045,Atlas Analytics,Healthcare,SMB,Netherlands,2025-02-10
A0046,Orbit Works,Education,SMB,France,2024-05-29
A0047,Slate Dynamics,Telecom,SMB,United Kingdom,2024-08-20
A0048,Harbor Group,Retail,Mid-Market,Italy,2024-08-27
A0049,Ember Logistics,Energy,SMB,Netherlands,2025-11-03
A0050,Slate Works,Fintech,Mid-Market,Spain,2026-03-12
A0051,Ember Digital,Fintech,Enterprise,Italy,2025-10-02
A0052,Summit Analytics,Healthcare,SMB,Germany,2025-07-05
A0053,Summit Works,Fintech,Mid-Market,Denmark,2025-06-20
A0054,North Logistics,Retail,Mid-Market,Denmark,2026-03-02
A0055,Delta Works,Manufacturing,SMB,Ireland,2024-10-21
A0056,Cobalt Digital,Media,Mid-Market,Netherlands,2024-12-27
A0057,Lumen Dynamics,SaaS,Mid-Market,United Kingdom,2025-08-30
A0058,Nova Networks,Education,Mid-Market,Denmark,2026-04-14
A0059,Summit Labs,Media,SMB,Belgium,2024-08-18
A0060,Lumen Group,Media,Mid-Market,Spain,2025-11-22
A0061,Quanta Networks,Education,SMB,Sweden,2025-11-24
A0062,Slate Solutions,Media,Mid-Market,Ireland,2025-09-29
A0063,Pulse Networks,Fintech,SMB,Belgium,2025-08-04
A0064,Lumen Digital,Energy,SMB,Denmark,2026-02-01
A0065,Delta Works,Healthcare,SMB,France,2025-11-05
A0066,Vertex Analytics,Fintech,SMB,United Kingdom,2025-06-29
A0067,Orbit Analytics,Healthcare,SMB,Spain,2025-12-20
A0068,North Solutions,Manufacturing,Enterprise,Spain,2025-04-26
A0069,Summit Solutions,Education,SMB,Denmark,2025-11-11
A0070,Pulse Networks,Healthcare,Mid-Market,Spain,2025-06-03
A0071,Atlas Analytics,Fintech,SMB,Spain,2024-09-08
A0072,Orbit Solutions,Manufacturing,Enterprise,Sweden,2024-07-25
A0073,Vertex Networks,SaaS,Mid-Market,France,2024-12-03
A0074,Harbor Solutions,Healthcare,SMB,Italy,2025-07-06
A0075,Apex Systems,Manufacturing,SMB,Italy,2025-04-24
A0076,Apex Industries,SaaS,SMB,Netherlands,2025-01-09
A0077,North Labs,Fintech,SMB,Sweden,2025-11-29
A0078,Delta Logistics,Logistics,Enterprise,Sweden,2024-08-26
A0079,Vertex Logistics,Manufacturing,Mid-Market,Italy,2025-12-11
A0080,Slate Analytics,Energy,Mid-Market,Netherlands,2026-04-08
A0081,Lumen Works,Logistics,Mid-Market,Sweden,2024-09-01
A0082,Ember Systems,Manufacturing,Mid-Market,Sweden,2024-07-10
A0083,Harbor Solutions,Education,Mid-Market,Germany,2025-05-06
A0084,Quanta Works,Retail,Mid-Market,Ireland,2026-02-26
A0085,Nova Holdings,Retail,SMB,Spain,2025-12-28
A0086,Quanta Group,SaaS,SMB,Belgium,2025-01-05
A0087,Ember Works,Logistics,Mid-Market,Spain,2025-03-29
A0088,Lumen Group,Logistics,SMB,Belgium,2026-04-19
A0089,Orbit Holdings,Fintech,Enterprise,United Kingdom,2025-06-21
A0090,Nova Works,Media,SMB,Spain,2024-05-18
A0091,Lumen Works,Logistics,SMB,Denmark,2025-08-28
A0092,Harbor Industries,Manufacturing,Mid-Market,France,2025-08-08
A0093,Cobalt Labs,Fintech,SMB,Germany,2025-10-31
A0094,Cedar Dynamics,Energy,Enterprise,United Kingdom,2025-12-25
A0095,Orbit Logistics,Fintech,Enterprise,Germany,2024-12-19
A0096,Cobalt Works,Fintech,SMB,Netherlands,2024-06-25
A0097,Cedar Labs,Education,Mid-Market,Spain,2024-05-13
A0098,Delta Networks,Fintech,Mid-Market,Netherlands,2025-09-02
A0099,Apex Networks,Manufacturing,SMB,Sweden,2024-10-03
A0100,Ember Logistics,Telecom,SMB,Germany,2025-07-01
A0101,Nova Dynamics,Manufacturing,Mid-Market,Spain,2025-07-28
A0102,Ember Networks,Manufacturing,SMB,Netherlands,2024-08-10
A0103,Lumen Dynamics,Media,Enterprise,Germany,2024-10-25
A0104,Vertex Analytics,Media,Mid-Market,Spain,2024-06-03
A0105,Cedar Works,Retail,SMB,Sweden,2025-01-26
A0106,Atlas Digital,Telecom,Mid-Market,Spain,2025-11-09
A0107,Vertex Logistics,Fintech,SMB,Netherlands,2025-03-11
A0108,Quanta Industries,Retail,Mid-Market,Spain,2025-03-08
A0109,Slate Holdings,Retail,Mid-Market,Netherlands,2024-06-10
A0110,Cedar Digital,SaaS,Enterprise,United Kingdom,2026-03-22
A0111,Ember Industries,Telecom,Mid-Market,Sweden,2025-01-31
A0112,Nova Dynamics,Manufacturing,Mid-Market,Spain,2025-02-09
A0113,Ember Digital,Retail,SMB,Netherlands,2025-04-22
A0114,Harbor Labs,Fintech,SMB,Spain,2025-09-20
A0115,Slate Group,Manufacturing,SMB,Spain,2025-03-19
A0116,Apex Group,Education,SMB,Belgium,2024-05-02
A0117,Orbit Analytics,Fintech,Mid-Market,France,2025-09-23
A0118,Nova Dynamics,Manufacturing,Mid-Market,Italy,2025-07-23
A0119,Delta Systems,Media,Enterprise,Ireland,2026-04-27
A0120,Orbit Holdings,SaaS,SMB,Italy,2024-08-25
A0121,Apex Group,Retail,SMB,Ireland,2025-10-04
A0122,Summit Networks,Retail,Mid-Market,Spain,2024-09-26
A0123,Pulse Holdings,Education,SMB,Belgium,2025-02-07
A0124,Quanta Analytics,Energy,Mid-Market,United Kingdom,2024-05-03
A0125,Cobalt Digital,Telecom,SMB,Spain,2024-09-30
A0126,Delta Logistics,Energy,SMB,France,2025-03-26
A0127,Slate Dynamics,Logistics,Enterprise,Belgium,2025-06-25
A0128,Cedar Works,Education,SMB,France,2026-03-11
A0129,Atlas Labs,Telecom,Mid-Market,Germany,2025-12-26
A0130,Apex Solutions,SaaS,SMB,Italy,2024-05-16
A0131,Summit Digital,Fintech,Mid-Market,Spain,2025-01-27
A0132,Cedar Digital,Education,SMB,Belgium,2025-10-29
A0133,Harbor Works,Energy,SMB,Belgium,2024-06-06
A0134,Lumen Works,Healthcare,Mid-Market,United Kingdom,2024-08-01
A0135,Apex Digital,Education,SMB,Spain,2026-04-11
A0136,North Logistics,SaaS,SMB,France,2025-07-16
A0137,Orbit Holdings,Energy,SMB,Germany,2024-07-20
A0138,Summit Works,Retail,Mid-Market,Denmark,2024-12-24
A0139,Cobalt Logistics,SaaS,SMB,Belgium,2025-02-19
A0140,Vertex Networks,Logistics,Mid-Market,Denmark,2026-02-14
A0141,Cedar Networks,Logistics,Enterprise,Italy,2025-09-07
A0142,Summit Analytics,Healthcare,SMB,Sweden,2024-05-23
A0143,Atlas Logistics,Manufacturing,Enterprise,Sweden,2024-06-20
A0144,Cedar Group,Telecom,Enterprise,Ireland,2024-12-22
A0145,Harbor Digital,Media,Mid-Market,Sweden,2026-03-07
A0146,Vertex Labs,Media,Mid-Market,Netherlands,2025-07-26
A0147,Harbor Labs,Telecom,SMB,France,2025-06-30
A0148,Vertex Holdings,Telecom,SMB,Denmark,2025-02-04
A0149,Cobalt Group,Retail,Mid-Market,Belgium,2025-04-12
A0150,Delta Systems,Energy,Mid-Market,United Kingdom,2026-03-24
A0151,Slate Industries,Education,Mid-Market,France,2025-06-09
A0152,Orbit Networks,Media,SMB,Sweden,2025-12-20
A0153,Atlas Analytics,Media,SMB,Spain,2026-01-25
A0154,Orbit Solutions,Healthcare,Enterprise,Netherlands,2025-08-19
A0155,Cobalt Analytics,Fintech,Enterprise,Italy,2025-03-08
A0156,Apex Dynamics,Manufacturing,Enterprise,France,2025-05-15
A0157,Cedar Industries,Retail,Mid-Market,Ireland,2024-10-06
A0158,Atlas Solutions,Media,Enterprise,Italy,2025-02-11
A0159,Harbor Networks,Telecom,SMB,Belgium,2024-08-10
A0160,Harbor Solutions,Media,Enterprise,Netherlands,2025-02-07
A0161,Apex Solutions,Retail,SMB,Sweden,2026-02-17
A0162,Slate Systems,Logistics,Mid-Market,Italy,2025-11-30
A0163,Quanta Holdings,Manufacturing,SMB,Belgium,2024-12-25
A0164,Vertex Solutions,SaaS,SMB,Belgium,2024-09-26
A0165,Orbit Group,Fintech,Enterprise,Belgium,2024-09-12
A0166,Nova Dynamics,Logistics,SMB,Germany,2024-06-23
A0167,Summit Labs,SaaS,SMB,Spain,2025-05-06
A0168,Apex Holdings,Telecom,Mid-Market,Netherlands,2026-03-06
A0169,Delta Industries,SaaS,Mid-Market,Spain,2025-06-16
A0170,Apex Works,Retail,SMB,Belgium,2025-03-26
A0171,Apex Logistics,Media,Mid-Market,Denmark,2025-03-29
A0172,Ember Logistics,Manufacturing,SMB,Spain,2026-04-19
A0173,Atlas Solutions,Manufacturing,SMB,Belgium,2025-07-15
A0174,Lumen Analytics,Retail,SMB,Spain,2024-08-06
A0175,Harbor Logistics,Telecom,SMB,Sweden,2025-08-29
A0176,Quanta Labs,SaaS,SMB,Ireland,2024-09-11
A0177,Ember Holdings,Logistics,Mid-Market,Germany,2025-04-28
A0178,Slate Networks,Telecom,Enterprise,Netherlands,2025-02-19
A0179,Harbor Holdings,Healthcare,Mid-Market,Sweden,2024-12-16
A0180,Harbor Holdings,Fintech,Mid-Market,United Kingdom,2024-12-18
A0181,Quanta Industries,Education,Mid-Market,Sweden,2026-02-18
A0182,Ember Digital,Media,Mid-Market,Netherlands,2025-02-04
A0183,Cobalt Analytics,SaaS,Mid-Market,Belgium,2025-12-01
A0184,Apex Works,Telecom,Mid-Market,Netherlands,2025-10-26
A0185,Summit Analytics,Logistics,SMB,Ireland,2025-12-03
A0186,Pulse Labs,Energy,Mid-Market,Netherlands,2024-07-23
A0187,Atlas Networks,Retail,SMB,United Kingdom,2025-10-07
A0188,Summit Logistics,Media,SMB,Spain,2026-03-15
A0189,Lumen Industries,SaaS,SMB,United Kingdom,2024-12-03
A0190,Nova Logistics,Fintech,Mid-Market,Spain,2025-07-15
A0191,Summit Works,Manufacturing,SMB,Belgium,2025-04-28
A0192,Quanta Systems,SaaS,SMB,Italy,2025-03-17
A0193,Ember Works,Retail,Mid-Market,Germany,2024-05-22
A0194,Vertex Industries,Retail,Enterprise,Sweden,2025-05-06
A0195,Quanta Dynamics,Manufacturing,SMB,Denmark,2025-06-10
A0196,Cedar Dynamics,Energy,Enterprise,Netherlands,2026-02-08
A0197,Orbit Solutions,Logistics,SMB,Ireland,2026-02-20
A0198,Lumen Labs,Fintech,Mid-Market,Sweden,2026-03-03
A0199,Slate Digital,Retail,SMB,Denmark,2025-12-15
A0200,Pulse Holdings,Media,SMB,Sweden,2026-02-02
A0201,Delta Networks,Media,SMB,Ireland,2025-12-27
A0202,Orbit Logistics,Retail,SMB,Netherlands,2025-02-18
A0203,Quanta Solutions,Media,SMB,Denmark,2025-08-17
A0204,Slate Works,SaaS,Mid-Market,Italy,2025-12-07
A0205,Harbor Networks,Fintech,Mid-Market,Netherlands,2024-08-14
A0206,Quanta Industries,SaaS,Mid-Market,Sweden,2024-06-10
A0207,Delta Networks,Manufacturing,SMB,Germany,2025-05-17
A0208,Summit Group,Media,Enterprise,Netherlands,2026-02-06
A0209,Apex Labs,Media,Mid-Market,United Kingdom,2026-03-04
A0210,Ember Labs,SaaS,Enterprise,Sweden,2025-04-24
A0211,Atlas Digital,Fintech,SMB,Ireland,2024-07-26
A0212,Summit Group,Education,SMB,Sweden,2026-04-02
A0213,Apex Works,Manufacturing,Enterprise,Netherlands,2025-03-13
A0214,Lumen Industries,Retail,SMB,United Kingdom,2024-09-18
A0215,Cobalt Group,Manufacturing,SMB,Denmark,2025-10-22
A0216,Harbor Group,Fintech,SMB,France,2024-10-14
A0217,Cedar Digital,Telecom,SMB,Ireland,2024-06-14
A0218,Atlas Dynamics,Retail,SMB,United Kingdom,2025-08-03
A0219,Lumen Industries,Energy,SMB,Italy,2024-11-15
A0220,Slate Industries,Retail,SMB,United Kingdom,2025-05-27
A0221,Summit Labs,Fintech,Mid-Market,Sweden,2025-01-12
A0222,Delta Analytics,Telecom,SMB,Ireland,2025-10-11
A0223,Cobalt Group,Healthcare,Enterprise,Italy,2024-09-28
A0224,Apex Solutions,Education,Mid-Market,Belgium,2024-05-28
A0225,Summit Analytics,Logistics,SMB,Netherlands,2024-12-16
A0226,Pulse Solutions,Media,SMB,Ireland,2024-09-18
A0227,Pulse Networks,Education,SMB,Ireland,2025-08-24
A0228,North Systems,Healthcare,SMB,Belgium,2025-11-13
A0229,Ember Networks,Energy,Enterprise,United Kingdom,2024-09-02
A0230,Summit Group,Retail,SMB,Germany,2025-09-24
A0231,North Holdings,Healthcare,Mid-Market,Germany,2025-07-14
A0232,Harbor Holdings,Fintech,SMB,Sweden,2025-10-19
A0233,Apex Holdings,Manufacturing,Enterprise,Italy,2025-11-19
A0234,Quanta Systems,Logistics,SMB,France,2024-05-17
A0235,Apex Dynamics,Media,SMB,Germany,2025-12-17
A0236,Harbor Systems,Manufacturing,Mid-Market,Belgium,2024-10-27
A0237,Atlas Industries,Retail,Mid-Market,Germany,2024-09-16
A0238,Nova Networks,Healthcare,SMB,Netherlands,2024-11-21
A0239,Harbor Logistics,Logistics,Enterprise,Belgium,2025-08-28
A0240,Nova Dynamics,Logistics,SMB,Ireland,2026-03-03
A0241,Apex Analytics,Education,SMB,Ireland,2025-05-31
A0242,Vertex Works,Logistics,SMB,Ireland,2025-01-29
A0243,Cedar Systems,Media,Mid-Market,Belgium,2025-11-10
A0244,Apex Logistics,Healthcare,SMB,Spain,2025-07-11
A0245,Delta Networks,Energy,SMB,Italy,2026-01-20
A0246,Cobalt Industries,Telecom,Enterprise,Netherlands,2026-02-12
A0247,Orbit Works,Fintech,SMB,Netherlands,2026-01-13
A0248,Delta Labs,Healthcare,Mid-Market,Sweden,2025-05-06
